reprov_fund_total,reprov_fund_anos_finais,reprov_med_total,reprov_med_1serie,pct_internet,pct_biblioteca,pct_lab_informatica,pct_quadra,pct_agua_potavel,pct_sem_esgoto,pct_sem_acessibilidade,pct_alimentacao,qt_salas_media,localizacao,dependencia_adm
1.0,1.4,,,100.0,67.74193548387096,1.6129032258064515,48.38709677419355,100.0,0.0,9.67741935483871,100.0,10.983870967741936,Urbana,Municipal
0.0,0.0,,,100.0,20.0,40.0,20.0,100.0,0.0,20.0,100.0,9.0,Total,Municipal
,,5.6,1.7,100.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,6.0,Total,Federal
12.3,0.0,,,100.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,1.8571428571428568,Rural,Municipal
1.0,1.0,4.1,1.4,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,15.0,Urbana,Estadual
3.5,6.5,,,100.0,26.08695652173913,17.391304347826086,39.130434782608695,17.391304347826086,0.0,17.391304347826086,100.0,10.26086956521739,Urbana,Municipal
1.8,2.1,2.5,3.9,98.44357976653696,71.20622568093385,32.68482490272373,58.754863813229576,99.61089494163424,0.3891050583657587,8.171206225680933,10.116731517509727,10.396887159533074,Total,Privada
0.0,0.0,,,100.0,50.0,50.0,50.0,100.0,0.0,0.0,0.0,10.5,Urbana,Privada
4.1,7.7,,,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,9.0,Rural,Total
1.0,1.2,0.9,1.3,93.5483870967742,19.35483870967742,50.0,43.54838709677419,100.0,0.0,29.03225806451613,82.25806451612904,10.096774193548388,Total,Total
1.7,3.6,4.7,5.6,97.91666666666666,54.16666666666666,39.58333333333333,52.083333333333336,100.0,0.0,14.583333333333334,79.16666666666666,12.770833333333334,Urbana,Total
0.3,0.3,1.0,2.0,100.0,80.95238095238095,61.90476190476191,61.90476190476191,100.0,0.0,4.761904761904762,47.61904761904761,17.095238095238095,Total,Privada
1.2,0.0,1.8,2.1,100.0,0.0,50.0,50.0,100.0,0.0,0.0,100.0,11.0,Urbana,Total
4.8,4.8,4.5,1.7,100.0,81.81818181818183,54.54545454545454,90.9090909090909,100.0,0.0,9.090909090909092,100.0,21.09090909090909,Total,Estadual
3.7,5.3,,,100.0,0.0,0.0,66.66666666666666,100.0,0.0,66.66666666666666,100.0,5.333333333333333,Rural,Total
0.0,0.0,,,100.0,100.0,33.33333333333333,33.33333333333333,100.0,0.0,0.0,33.33333333333333,12.0,Urbana,Privada
0.0,0.0,,,100.0,100.0,0.0,100.0,100.0,0.0,0.0,100.0,18.0,Urbana,Municipal
,,13.5,24.6,100.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,7.0,Urbana,Estadual
,,1.0,3.2,0.0,0.0,100.0,0.0,100.0,0.0,0.0,100.0,6.0,Urbana,Estadual
3.2,5.2,7.1,11.4,100.0,100.0,100.0,33.33333333333333,100.0,0.0,0.0,100.0,9.333333333333334,Total,Estadual
5.3,,,,100.0,33.33333333333333,0.0,0.0,100.0,0.0,16.666666666666664,100.0,3.6666666666666665,Rural,Municipal
6.8,13.5,,,100.0,0.0,0.0,40.0,100.0,0.0,0.0,100.0,4.6,Total,Municipal
0.9,1.3,3.4,5.5,97.61904761904762,8.73015873015873,27.77777777777778,50.79365079365079,99.20634920634922,0.0,72.22222222222221,79.36507936507937,11.587301587301589,Urbana,Total
2.7,4.8,4.7,7.4,100.0,66.66666666666666,66.66666666666666,66.66666666666666,100.0,0.0,0.0,66.66666666666666,8.333333333333334,Total,Privada
4.6,5.6,9.0,11.7,100.0,33.33333333333333,33.33333333333333,66.66666666666666,100.0,0.0,0.0,100.0,9.666666666666666,Total,Total
0.6,1.1,16.9,26.5,100.0,100.0,50.0,50.0,100.0,0.0,100.0,100.0,10.5,Urbana,Estadual
0.0,0.0,,,100.0,9.090909090909092,72.72727272727273,9.090909090909092,100.0,0.0,72.72727272727273,100.0,2.272727272727273,Rural,Municipal
,,3.1,5.9,100.0,33.33333333333333,66.66666666666666,33.33333333333333,100.0,0.0,0.0,66.66666666666666,6.666666666666667,Urbana,Estadual
0.0,,,,100.0,66.66666666666666,0.0,33.33333333333333,100.0,0.0,83.33333333333334,100.0,7.0,Total,Municipal
1.1,0.0,1.8,0.0,100.0,20.0,40.0,20.0,80.0,0.0,20.0,40.0,8.8,Urbana,Privada
1.0,2.0,5.1,6.8,100.0,51.85185185185185,40.74074074074074,66.66666666666666,100.0,3.7037037037037033,18.51851851851852,100.0,9.333333333333334,Total,Total
0.0,0.0,,,100.0,50.0,0.0,0.0,100.0,0.0,0.0,0.0,8.5,Total,Privada
11.8,13.0,10.7,20.1,100.0,10.294117647058822,10.294117647058822,26.47058823529412,98.52941176470588,0.0,45.588235294117645,97.05882352941175,6.264705882352941,Total,Total
5.5,5.6,0.0,0.0,82.8125,10.9375,6.25,10.9375,81.25,1.5625,51.5625,93.75,4.3125,Total,Total
0.1,0.0,0.0,0.0,100.0,25.0,18.75,37.5,100.0,18.75,56.25,93.75,6.6875,Total,Total
2.7,3.8,2.8,0.0,100.0,100.0,50.0,50.0,100.0,0.0,50.0,100.0,6.0,Urbana,Total
5.3,7.5,,,100.0,0.0,60.0,60.0,100.0,0.0,0.0,100.0,8.2,Urbana,Municipal
6.7,9.7,8.8,6.8,80.0,40.0,40.0,40.0,80.0,0.0,60.0,100.0,8.4,Total,Estadual
14.8,1.0,,,100.0,14.285714285714285,0.0,57.14285714285714,100.0,0.0,28.57142857142857,100.0,7.285714285714286,Total,Municipal
,,3.8,4.3,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,25.0,Total,Estadual
1.4,3.1,5.0,8.8,100.0,80.0,60.0,60.0,100.0,0.0,0.0,100.0,8.2,Total,Total
6.7,10.7,14.8,24.3,100.0,7.6923076923076925,0.0,15.384615384615383,100.0,0.0,3.8461538461538463,100.0,6.538461538461538,Total,Total
3.7,3.7,0.0,0.0,100.0,100.0,100.0,0.0,100.0,0.0,0.0,100.0,6.0,Urbana,Estadual
1.2,1.2,1.9,5.8,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,11.0,Total,Estadual
4.7,6.0,5.6,11.4,100.0,100.0,50.0,50.0,100.0,0.0,50.0,100.0,5.5,Total,Estadual
0.0,,,,100.0,50.0,100.0,50.0,100.0,0.0,100.0,100.0,3.0,Rural,Municipal
1.1,1.7,6.7,10.2,96.96969696969695,16.666666666666664,46.96969696969697,50.0,100.0,0.0,77.27272727272727,75.75757575757575,10.924242424242424,Total,Total
0.1,0.2,0.2,0.5,100.0,33.33333333333333,28.57142857142857,33.33333333333333,100.0,0.0,23.809523809523807,71.42857142857143,6.714285714285714,Urbana,Total
1.5,0.0,,,100.0,50.0,50.0,50.0,100.0,0.0,0.0,100.0,6.5,Rural,Municipal
2.7,3.8,3.8,9.1,100.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,12.0,Rural,Privada
0.1,,,,100.0,100.0,66.66666666666666,66.66666666666666,100.0,0.0,0.0,100.0,19.33333333333333,Total,Municipal
0.5,1.0,4.4,7.0,100.0,30.0,30.0,40.0,100.0,0.0,30.0,90.0,5.1,Urbana,Total
,,0.0,0.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,7.0,Rural,Estadual
2.8,2.4,6.5,10.4,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,20.0,Urbana,Estadual
8.7,18.2,11.8,18.5,100.0,33.33333333333333,0.0,33.33333333333333,100.0,0.0,33.33333333333333,100.0,6.666666666666667,Urbana,Total
0.0,0.0,,,100.0,100.0,100.0,0.0,100.0,0.0,0.0,0.0,15.0,Rural,Privada
12.0,10.3,8.2,13.0,73.58490566037736,35.84905660377358,26.41509433962264,37.735849056603776,96.22641509433964,5.660377358490567,18.867924528301888,90.56603773584906,9.132075471698114,Total,Total
9.8,15.8,,,100.0,60.0,20.0,60.0,100.0,0.0,40.0,100.0,5.8,Rural,Municipal
1.4,1.1,,,100.0,33.33333333333333,33.33333333333333,66.66666666666666,100.0,0.0,0.0,100.0,6.666666666666667,Rural,Municipal
2.8,2.8,2.5,4.5,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,10.0,Total,Estadual
1.1,1.6,1.6,1.7,100.0,75.0,25.0,25.0,100.0,0.0,0.0,100.0,8.5,Urbana,Total
2.2,,,,57.692307692307686,7.6923076923076925,0.0,15.384615384615383,100.0,0.0,57.692307692307686,100.0,3.1538461538461537,Total,Municipal
0.0,0.0,,,100.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,6.0,Total,Privada
7.4,11.3,,,81.81818181818183,0.0,36.36363636363637,27.27272727272727,100.0,0.0,36.36363636363637,100.0,6.2727272727272725,Rural,Municipal
0.2,0.4,1.7,2.2,100.0,37.142857142857146,60.0,51.42857142857142,100.0,0.0,25.71428571428571,82.85714285714286,9.8,Urbana,Total
1.6,3.7,1.7,3.5,100.0,25.0,41.66666666666667,41.66666666666667,100.0,0.0,25.0,100.0,4.583333333333333,Total,Total
0.0,,,,100.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,3.0,Rural,Total
0.0,,,,100.0,50.0,10.0,60.0,100.0,0.0,0.0,100.0,8.0,Urbana,Municipal
0.4,0.6,0.7,1.6,100.0,45.45454545454545,54.54545454545454,54.54545454545454,100.0,0.0,59.09090909090909,22.727272727272727,11.681818181818182,Total,Privada
0.9,1.4,0.0,0.0,100.0,70.58823529411765,5.88235294117647,64.70588235294117,100.0,0.0,5.88235294117647,23.52941176470588,9.176470588235292,Urbana,Privada
,,7.1,9.9,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,11.0,Total,Estadual
3.2,7.1,11.8,15.6,100.0,100.0,100.0,0.0,100.0,0.0,0.0,100.0,10.5,Urbana,Estadual
4.6,,,,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,7.0,Rural,Total
4.2,8.2,,,100.0,31.25,25.0,37.5,100.0,0.0,12.5,100.0,7.1875,Urbana,Municipal
0.0,0.0,0.0,0.0,100.0,33.33333333333333,33.33333333333333,33.33333333333333,100.0,0.0,0.0,100.0,9.0,Urbana,Total
0.2,0.8,,,100.0,0.0,0.0,0.0,100.0,0.0,66.66666666666666,0.0,7.0,Total,Privada
2.5,4.6,,,100.0,25.0,25.0,33.33333333333333,100.0,0.0,0.0,100.0,7.166666666666667,Urbana,Municipal
2.6,,,,100.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,4.0,Urbana,Privada
0.3,0.4,,,100.0,25.0,0.0,12.5,100.0,0.0,12.5,100.0,11.25,Total,Municipal
0.9,,,,100.0,50.0,0.0,25.0,100.0,0.0,0.0,100.0,11.75,Urbana,Municipal
,,1.8,3.5,100.0,50.0,50.0,50.0,100.0,0.0,0.0,100.0,10.0,Total,Estadual
1.9,1.9,3.0,3.6,100.0,75.0,100.0,100.0,100.0,0.0,25.0,100.0,10.5,Total,Estadual
1.6,3.3,3.4,4.8,100.0,48.14814814814815,7.4074074074074066,29.629629629629623,100.0,0.0,11.11111111111111,85.18518518518519,9.555555555555555,Total,Privada
4.4,4.5,,,100.0,33.33333333333333,33.33333333333333,33.33333333333333,100.0,0.0,0.0,100.0,10.0,Urbana,Municipal
6.9,,,,0.0,0.0,0.0,0.0,100.0,0.0,66.66666666666666,100.0,2.333333333333333,Rural,Total
,,5.6,8.5,86.66666666666667,26.666666666666668,33.33333333333333,26.666666666666668,100.0,6.666666666666667,20.0,93.33333333333331,7.0,Total,Estadual
3.1,,,,100.0,14.285714285714285,0.0,28.57142857142857,100.0,0.0,0.0,100.0,4.142857142857143,Rural,Total
14.6,14.6,8.9,12.1,100.0,80.0,100.0,100.0,100.0,0.0,0.0,100.0,11.0,Urbana,Estadual
3.0,3.6,9.4,14.3,100.0,83.33333333333334,33.33333333333333,33.33333333333333,100.0,0.0,0.0,100.0,4.333333333333333,Rural,Total
1.5,5.0,,,100.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,9.0,Urbana,Municipal
,,7.2,2.9,100.0,100.0,0.0,100.0,100.0,0.0,0.0,100.0,10.0,Urbana,Estadual
19.6,19.6,7.6,11.1,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,11.0,Urbana,Estadual
2.0,4.0,,,100.0,0.0,0.0,0.0,100.0,0.0,57.14285714285714,100.0,5.0,Urbana,Municipal
0.0,0.0,0.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,100.0,6.0,Total,Estadual
3.2,5.5,,,96.29629629629628,0.0,7.4074074074074066,3.7037037037037033,100.0,3.7037037037037033,66.66666666666666,100.0,5.37037037037037,Urbana,Municipal
2.2,,,,100.0,0.0,50.0,50.0,100.0,0.0,0.0,100.0,9.5,Urbana,Municipal
0.0,,,,100.0,33.33333333333333,33.33333333333333,33.33333333333333,100.0,0.0,33.33333333333333,100.0,9.333333333333334,Urbana,Municipal
0.0,0.0,10.9,25.0,100.0,100.0,100.0,0.0,100.0,0.0,100.0,100.0,13.0,Total,Estadual
0.6,0.7,1.1,2.1,100.0,12.0,44.0,40.0,96.0,0.0,56.00000000000001,32.0,11.24,Urbana,Privada
4.4,7.3,,,100.0,22.22222222222222,33.33333333333333,22.22222222222222,100.0,0.0,0.0,100.0,15.22222222222222,Urbana,Municipal
0.6,1.2,3.3,5.1,100.0,92.0,40.0,60.0,100.0,0.0,4.0,72.0,11.64,Urbana,Total
,,14.8,14.8,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,7.0,Total,Federal
0.2,0.0,0.7,0.0,100.0,55.55555555555556,44.44444444444444,66.66666666666666,100.0,0.0,0.0,22.22222222222222,10.333333333333334,Total,Privada
3.3,7.3,3.4,8.7,100.0,33.33333333333333,66.66666666666666,66.66666666666666,100.0,0.0,0.0,100.0,5.0,Total,Total
0.0,,,,100.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,5.0,Rural,Municipal
0.0,0.0,0.0,0.0,50.0,0.0,0.0,50.0,100.0,0.0,50.0,50.0,8.0,Urbana,Privada
22.2,25.3,5.2,0.0,100.0,33.33333333333333,33.33333333333333,33.33333333333333,100.0,0.0,0.0,100.0,7.666666666666667,Urbana,Total
8.2,10.2,15.6,23.3,100.0,37.0,43.0,56.00000000000001,100.0,0.0,10.0,60.0,10.64,Total,Total
1.6,3.4,,,100.0,0.0,0.0,20.0,100.0,0.0,0.0,100.0,3.9,Rural,Municipal
5.1,9.3,14.0,19.6,100.0,100.0,33.33333333333333,66.66666666666666,100.0,0.0,0.0,100.0,10.0,Urbana,Estadual
5.8,6.8,6.6,12.4,100.0,30.0,10.0,40.0,100.0,0.0,10.0,100.0,7.3,Urbana,Total
,,1.6,1.8,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,16.0,Urbana,Estadual
0.0,,,,100.0,0.0,0.0,66.66666666666666,100.0,0.0,33.33333333333333,100.0,8.666666666666666,Total,Municipal
,,2.1,2.3,100.0,100.0,100.0,100.0,100.0,0.0,50.0,50.0,8.0,Urbana,Estadual
1.0,1.3,2.7,4.5,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,19.0,Urbana,Estadual
0.2,0.4,0.0,0.0,62.5,0.0,12.5,12.5,93.75,0.0,81.25,100.0,4.3125,Total,Total
,,11.3,16.1,100.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,15.0,Total,Estadual
5.1,3.7,9.4,15.5,100.0,100.0,25.0,50.0,100.0,0.0,0.0,100.0,8.75,Total,Total
0.2,0.5,7.2,9.2,100.0,66.66666666666666,66.66666666666666,66.66666666666666,100.0,0.0,33.33333333333333,100.0,17.333333333333332,Urbana,Estadual
0.2,,,,100.0,25.0,15.625,28.125,100.0,0.0,68.75,100.0,7.59375,Total,Municipal
5.6,5.7,6.7,5.1,100.0,66.66666666666666,100.0,100.0,100.0,0.0,0.0,100.0,16.333333333333332,Urbana,Estadual
1.5,3.2,3.8,5.5,86.8421052631579,36.84210526315789,36.84210526315789,28.947368421052637,100.0,0.0,34.21052631578947,92.10526315789474,7.2105263157894735,Total,Total
4.8,10.3,0.1,0.0,100.0,33.33333333333333,22.22222222222222,22.22222222222222,100.0,0.0,22.22222222222222,100.0,8.88888888888889,Urbana,Total
,,1.9,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,13.0,Urbana,Estadual
4.5,8.2,4.7,13.2,100.0,11.11111111111111,33.33333333333333,11.11111111111111,100.0,0.0,44.44444444444444,100.0,3.2222222222222223,Total,Total
5.3,7.5,0.6,0.0,100.0,16.666666666666664,50.0,66.66666666666666,100.0,0.0,0.0,100.0,8.166666666666666,Urbana,Total
5.3,7.8,5.8,9.3,100.0,79.22077922077922,79.22077922077922,64.93506493506493,100.0,0.0,12.987012987012983,98.7012987012987,11.428571428571429,Total,Estadual
3.5,14.6,,,100.0,28.57142857142857,57.14285714285714,14.285714285714285,100.0,0.0,0.0,100.0,7.285714285714286,Total,Municipal
4.9,7.8,1.4,1.2,52.38095238095239,14.285714285714285,4.761904761904762,14.285714285714285,95.23809523809524,9.523809523809524,66.66666666666666,100.0,6.285714285714286,Rural,Total
0.5,0.8,,,90.47619047619048,0.0,14.285714285714285,42.85714285714285,100.0,0.0,57.14285714285714,100.0,7.952380952380952,Urbana,Municipal
0.0,0.0,0.0,0.0,100.0,0.0,33.33333333333333,33.33333333333333,100.0,0.0,33.33333333333333,100.0,6.666666666666667,Total,Total
4.0,5.6,,,70.83333333333334,0.0,0.0,0.0,100.0,4.166666666666666,47.91666666666667,100.0,3.0,Total,Municipal
0.0,,,,100.0,100.0,100.0,50.0,100.0,0.0,0.0,0.0,5.0,Total,Privada
1.6,0.0,,,80.0,20.0,0.0,60.0,100.0,80.0,0.0,100.0,8.2,Rural,Total
9.3,15.1,,,100.0,50.0,25.0,12.5,100.0,0.0,0.0,100.0,7.125,Total,Municipal
11.5,13.8,0.0,,55.970149253731336,0.7462686567164178,3.731343283582089,5.223880597014925,2.238805970149253,21.64179104477612,35.82089552238806,99.25373134328358,3.2238805970149254,Rural,Total
5.1,6.0,,,94.44444444444444,5.555555555555555,0.0,0.0,100.0,0.0,50.0,100.0,2.9444444444444446,Total,Municipal
0.0,,,,100.0,50.0,0.0,50.0,100.0,0.0,0.0,50.0,6.5,Rural,Privada
11.1,13.6,2.3,0.9,50.90909090909091,12.727272727272728,3.636363636363636,7.272727272727272,92.72727272727272,27.27272727272727,87.27272727272727,98.1818181818182,3.7454545454545456,Rural,Total
2.7,2.7,4.2,5.7,100.0,50.0,50.0,50.0,100.0,50.0,0.0,100.0,5.5,Urbana,Estadual
,,1.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,6.0,Total,Estadual
3.1,,,,100.0,77.77777777777779,0.0,88.88888888888889,100.0,0.0,0.0,100.0,8.333333333333334,Rural,Municipal
1.0,,,,100.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,4.0,Rural,Municipal
,,0.0,0.0,100.0,100.0,100.0,0.0,100.0,0.0,100.0,0.0,7.0,Total,Privada
2.2,2.0,2.5,4.7,100.0,18.75,6.25,12.5,100.0,0.0,0.0,93.75,7.3125,Total,Total
0.4,1.0,,,96.0,16.0,8.0,4.0,100.0,12.0,16.0,100.0,4.16,Rural,Municipal
3.5,6.6,,,85.0,0.0,0.0,2.5,100.0,0.0,95.0,100.0,3.0,Rural,Municipal
0.7,1.6,2.2,3.5,98.85057471264368,6.896551724137931,20.689655172413797,48.27586206896552,98.85057471264368,0.0,32.18390804597701,82.75862068965517,10.79310344827586,Total,Total
7.3,10.8,,,100.0,0.0,20.0,20.0,100.0,0.0,0.0,100.0,4.066666666666666,Rural,Total
4.9,5.8,,,100.0,66.66666666666666,33.33333333333333,33.33333333333333,100.0,0.0,0.0,100.0,11.333333333333334,Urbana,Municipal
0.3,0.7,2.1,0.0,100.0,0.0,33.33333333333333,66.66666666666666,100.0,0.0,66.66666666666666,100.0,10.333333333333334,Urbana,Total
1.5,1.5,1.0,1.4,100.0,12.5,62.5,87.5,100.0,0.0,37.5,100.0,13.75,Total,Estadual
3.0,0.9,,,100.0,14.285714285714285,0.0,0.0,78.57142857142857,0.0,35.714285714285715,100.0,5.285714285714286,Rural,Municipal
0.0,0.0,0.0,0.0,10.0,20.0,60.0,70.0,100.0,0.0,10.0,100.0,7.6,Urbana,Estadual
0.0,,,,100.0,0.0,0.0,0.0,100.0,50.0,50.0,100.0,2.0,Rural,Total
0.2,0.5,4.3,9.1,100.0,66.66666666666666,66.66666666666666,66.66666666666666,100.0,0.0,33.33333333333333,100.0,9.666666666666666,Urbana,Total
1.3,0.7,7.2,8.6,100.0,11.11111111111111,55.55555555555556,55.55555555555556,100.0,0.0,44.44444444444444,77.77777777777779,6.777777777777778,Rural,Total
0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,7.0,Total,Estadual
0.0,0.0,1.5,0.0,100.0,25.0,75.0,100.0,100.0,0.0,0.0,100.0,6.0,Rural,Estadual
0.0,0.0,,,100.0,0.0,0.0,50.0,100.0,0.0,0.0,100.0,16.0,Urbana,Municipal
2.0,3.1,2.1,3.9,86.66666666666667,23.33333333333333,23.33333333333333,16.666666666666664,80.0,33.33333333333333,46.66666666666666,90.0,5.733333333333333,Total,Total
0.8,1.5,3.1,5.3,100.0,46.34146341463415,36.58536585365854,46.34146341463415,100.0,0.0,43.90243902439025,51.21951219512195,15.560975609756095,Total,Privada
0.9,1.2,4.1,2.7,100.0,85.71428571428571,71.42857142857143,71.42857142857143,100.0,0.0,0.0,100.0,4.714285714285714,Total,Total
3.1,,,,100.0,100.0,50.0,100.0,100.0,0.0,0.0,100.0,8.5,Urbana,Municipal
7.7,7.6,,,100.0,33.33333333333333,0.0,33.33333333333333,100.0,0.0,33.33333333333333,100.0,7.666666666666667,Urbana,Municipal
0.0,0.0,3.6,8.3,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,17.0,Rural,Privada
0.0,,,,50.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,6.0,Rural,Total
,,0.6,0.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,6.0,Urbana,Estadual
2.7,5.8,,,100.0,33.33333333333333,33.33333333333333,47.61904761904761,85.71428571428571,0.0,4.761904761904762,95.23809523809524,8.047619047619047,Total,Municipal
0.0,,,,100.0,100.0,0.0,0.0,100.0,0.0,0.0,100.0,5.0,Rural,Municipal
0.3,0.0,0.0,0.0,100.0,16.666666666666664,16.666666666666664,16.666666666666664,100.0,0.0,16.666666666666664,100.0,8.166666666666666,Urbana,Total
0.7,1.2,,,100.0,23.52941176470588,29.411764705882355,23.52941176470588,100.0,0.0,11.76470588235294,100.0,4.117647058823529,Rural,Municipal
1.8,3.9,7.0,12.0,100.0,60.0,20.0,40.0,100.0,20.0,20.0,100.0,6.8,Total,Total
6.2,7.8,,,100.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,5.5,Urbana,Municipal
0.0,,,,100.0,100.0,0.0,100.0,100.0,0.0,0.0,100.0,3.0,Rural,Total
1.6,2.6,,,100.0,2.5,7.5,32.5,100.0,0.0,22.5,100.0,7.975,Urbana,Municipal
2.3,2.3,,,87.09677419354838,3.225806451612903,6.451612903225806,12.903225806451612,77.41935483870968,9.67741935483871,45.16129032258064,100.0,5.612903225806452,Total,Municipal
0.0,,,,100.0,0.0,0.0,33.33333333333333,100.0,0.0,66.66666666666666,100.0,6.666666666666667,Total,Municipal
3.6,5.8,,,100.0,8.333333333333332,37.5,45.83333333333333,100.0,0.0,4.166666666666666,100.0,9.583333333333334,Urbana,Municipal
2.6,4.7,5.8,8.0,100.0,50.0,37.5,25.0,100.0,0.0,31.25,100.0,7.9375,Total,Total
11.4,,0.0,0.0,100.0,50.0,25.0,50.0,100.0,0.0,0.0,100.0,10.0,Rural,Total
,,0.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,6.0,Urbana,Estadual
7.1,7.1,5.3,7.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,8.0,Urbana,Estadual
2.0,,,,100.0,20.0,0.0,20.0,100.0,0.0,40.0,100.0,3.6,Rural,Municipal
0.3,0.6,1.3,3.1,100.0,50.0,75.0,75.0,100.0,0.0,0.0,75.0,6.75,Total,Privada
1.1,2.1,6.3,9.0,68.42105263157895,36.84210526315789,23.684210526315788,18.421052631578945,97.36842105263158,0.0,63.1578947368421,84.21052631578947,5.5,Total,Total
5.9,8.8,,,77.77777777777779,7.4074074074074066,7.4074074074074066,37.03703703703704,88.88888888888889,3.7037037037037033,40.74074074074074,100.0,4.777777777777778,Total,Municipal
1.8,1.8,7.1,3.6,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,8.0,Urbana,Estadual
